id,easting,northing,elevation,site,year,percAlong,distAlong
195,317909.7795,4097820.624,2164.176769,AHA,2021,0.054852321,51.18818759
196,317909.7795,4097820.624,2164.176769,AHA,2021,0.055133615,51.45069112
197,317909.9852,4097820.999,2164.33517,AHA,2021,0.055414909,51.71319464
198,317909.9852,4097820.999,2164.33517,AHA,2021,0.055696203,51.97569817
199,317910.1511,4097821.423,2164.394981,AHA,2021,0.055977496,52.2382017
200,317910.227,4097821.602,2164.399984,AHA,2021,0.05625879,52.50070522
201,317910.4065,4097822.026,2164.386681,AHA,2021,0.056540084,52.76320875
202,317910.4065,4097822.026,2164.386681,AHA,2021,0.056821378,53.02571227
203,317910.6052,4097822.39,2164.367039,AHA,2021,0.057102672,53.2882158
204,317910.7457,4097822.615,2164.337105,AHA,2021,0.057383966,53.55071933
205,317910.9704,4097822.975,2164.323215,AHA,2021,0.05766526,53.81322285
206,317910.9704,4097822.975,2164.323215,AHA,2021,0.057946554,54.07572638
207,317911.0532,4097823.169,2164.323567,AHA,2021,0.058227848,54.3382299
208,317911.2256,4097823.6,2164.315093,AHA,2021,0.058509142,54.60073343
209,317911.4001,4097824.045,2164.293988,AHA,2021,0.058790436,54.86323696
210,317911.4001,4097824.045,2164.293988,AHA,2021,0.05907173,55.12574048
211,317911.4473,4097824.541,2164.292176,AHA,2021,0.059353024,55.38824401
212,317911.4473,4097824.541,2164.292176,AHA,2021,0.059634318,55.65074753
213,317911.5648,4097824.927,2164.33762,AHA,2021,0.059915612,55.91325106
214,317911.606,4097825.05,2164.346924,AHA,2021,0.060196906,56.17575459
215,317911.606,4097825.05,2164.346924,AHA,2021,0.0604782,56.43825811
216,317911.7527,4097825.689,2164.396948,AHA,2021,0.060759494,56.70076164
217,317911.7527,4097825.689,2164.396948,AHA,2021,0.061040788,56.96326517
218,317912.0226,4097825.935,2164.367528,AHA,2021,0.061322082,57.22576869
219,317912.0226,4097825.935,2164.367528,AHA,2021,0.061603376,57.48827222
220,317912.1764,4097826.166,2164.380672,AHA,2021,0.061884669,57.75077574
221,317912.2704,4097826.539,2164.420419,AHA,2021,0.062165963,58.01327927
222,317912.2704,4097826.539,2164.420419,AHA,2021,0.062447257,58.2757828
223,317912.2932,4097827.068,2164.335935,AHA,2021,0.062728551,58.53828632
224,317912.2932,4097827.068,2164.335935,AHA,2021,0.063009845,58.80078985
225,317912.4388,4097827.521,2164.341167,AHA,2021,0.063291139,59.06329337
226,317912.5379,4097828.05,2164.397429,AHA,2021,0.063572433,59.3257969
227,317912.5379,4097828.05,2164.397429,AHA,2021,0.063853727,59.58830043
228,317912.5379,4097828.382,2164.512064,AHA,2021,0.064135021,59.85080395
229,317912.5379,4097828.382,2164.512064,AHA,2021,0.064416315,60.11330748
230,317912.8018,4097828.607,2164.411753,AHA,2021,0.064697609,60.375811
231,317913.0486,4097828.817,2164.400177,AHA,2021,0.064978903,60.63831453
232,317913.3384,4097829.064,2164.386825,AHA,2021,0.065260197,60.90081806
233,317913.3384,4097829.064,2164.386825,AHA,2021,0.065541491,61.16332158
234,317913.8564,4097829.151,2164.45009,AHA,2021,0.065822785,61.42582511
235,317914.3544,4097829.119,2164.497366,AHA,2021,0.066104079,61.68832864
